Address,Price,Details
"Sleman, Sleman",Rp 689.500.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     93 m?                                Lahan
"Gamping, Sleman",Rp 700.000.000,2                                Kamar tidur                                    76 m?                                Bangunan                                     108 m?                                Lahan
"Ngaglik, Sleman",Rp 689.500.000,2                                Kamar tidur                                    45 m?                                Bangunan                                     93 m?                                Lahan
"Bantul, Bantul",Rp 875.000.000,3                                Kamar tidur                                    82 m?                                Bangunan                                     112 m?                                Lahan
"Maguwoharjo, Sleman",Rp 270.000.000,2                                Kamar tidur                                    78 m?                                Bangunan                                     94 m?                                Lahan
"Moyudan, Sleman",Rp 350.000.000,2                                Kamar tidur                                    50 m?                                Bangunan                                     101 m?                                Lahan
"Umbulharjo, Yogyakarta",Rp 1.375.000.000,8                                Kamar tidur                                    192 m?                                Bangunan                                     80 m?                                Lahan
"Bantul, Bantul",Rp 150.500.000,2                                Kamar tidur                                    30 m?                                Bangunan                                     63 m?                                Lahan
"Maguwoharjo, Sleman",Rp 235.000.000,2                                Kamar tidur                                    40 m?                                Bangunan                                     60 m?                                Lahan
"Maguwoharjo, Sleman",Rp 190.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     50 m?                                Lahan
"Ngaglik, Sleman",Rp 1.600.000.000,3                                Kamar tidur                                    136 m?                                Bangunan                                     103 m?                                Lahan
"Kalasan, Sleman",Rp 265.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     72 m?                                Lahan
"Prambanan, Sleman",Rp 263.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     71 m?                                Lahan
"Depok, Sleman",Rp 1.550.000.000,9                                Kamar tidur                                    170 m?                                Bangunan                                     128 m?                                Lahan
"Sedayu, Bantul",Rp 265.000.000,2                                Kamar tidur                                    36 m?                                Bangunan                                     60 m?                                Lahan
"Kotagede, Yogyakarta",Rp 1.094.000.000,3                                Kamar tidur                                    76 m?                                Bangunan                                     80 m?                                Lahan
"Mlati, Sleman",Rp 3.900.000.000,4                                Kamar tidur                                    206 m?                                Bangunan                                     210 m?                                Lahan
"Caturtunggal, Sleman",Rp 375.000.000,2                                Kamar tidur                                    65 m?                                Bangunan                                     60 m?                                Lahan
